G o. </w>	Va </w> ! </w>
Be </w> merciful. </w>	Soyez </w> mis éric or die ux </w> ! </w>
Be </w> merciful. </w>	Sois </w> mis éric or die use </w> ! </w>
Be </w> merciful. </w>	Sois </w> mis éric or die ux </w> ! </w>
Be </w> prepared. </w>	Sois </w> prêt </w> ! </w>
Be </w> prepared. </w>	Tiens-toi </w> prêt </w> ! </w>
Be </w> prepared. </w>	Sois </w> prête </w> ! </w>
Be </w> prepared. </w>	Soyez </w> prêt </w> ! </w>
Be </w> prepared. </w>	Soyez </w> prête </w> ! </w>
Be </w> prepared. </w>	Soyez </w> prêts </w> ! </w>
Be </w> prepared. </w>	Soyez </w> prêtes </w> ! </w>
Be </w> prepared. </w>	Tiens-toi </w> prête </w> ! </w>
Be </w> prepared. </w>	Tenez-vous </w> prêt </w> ! </w>
Be </w> prepared. </w>	Tenez-vous </w> prête </w> ! </w>
Be </w> prepared. </w>	Tenez-vous </w> prêts </w> ! </w>
Be </w> prepared. </w>	Tenez-vous </w> prêtes </w> ! </w>
Be </w> punctual. </w>	Soyez </w> ponctu elles </w> ! </w>
Be </w> punctual. </w>	Soyez </w> ponctu elle </w> ! </w>
Be </w> punctual. </w>	Soyez </w> ponctu els </w> ! </w>
Be </w> punctual. </w>	Soyez </w> ponctuel </w> ! </w>
Be </w> punctual. </w>	Sois </w> ponctuel </w> ! </w>
Be </w> punctual. </w>	Sois </w> ponctu elle </w> ! </w>
Be </w> ruthless. </w>	Soyez </w> impitoy able </w> ! </w>
Be </w> ruthless. </w>	Soyez </w> impitoy ables </w> ! </w>
Be </w> ruthless. </w>	Sois </w> impitoy able </w> ! </w>
Be </w> sensible. </w>	Soyez </w> raisonnable </w> ! </w>
Be </w> sensible. </w>	Soyez </w> raisonn ables </w> ! </w>
Be </w> sensible. </w>	Sois </w> raisonnable </w> ! </w>
Be </w> watch ful. </w>	Sois </w> prudent </w> ! </w>
Be </w> watch ful. </w>	Sois </w> prudente </w> ! </w>
Be </w> watch ful. </w>	Soyez </w> prudent </w> ! </w>
Be </w> watch ful. </w>	Soyez </w> prudente </w> ! </w>
Be </w> yourself. </w>	Sois </w> toi-même. </w>
Be </w> yourself. </w>	Soyez </w> vous-même. </w>
Beer 's </w> good. </w>	La </w> bière </w> est </w> bonne. </w>
Break </w> it </w> up! </w>	Arrêtez </w> ! </w>
Can </w> it </w> wait? </w>	Cela </w> peut-il </w> attendre </w> ? </w>
Can </w> we </w> come? </w>	Pouvons-nous </w> venir </w> ? </w>
Can </w> we </w> help? </w>	Pouvons-nous </w> donner </w> un </w> coup </w> de </w> main </w> ? </w>
Can </w> we </w> stop? </w>	Pouvons-nous </w> arrêter </w> ? </w>
Can </w> we </w> talk? </w>	Pouvons-nous </w> parler </w> ? </w>
Can </w> you </w> see? </w>	Arrives-tu </w> à </w> voir </w> ? </w>
Can </w> you </w> see? </w>	Arrivez-vous </w> à </w> voir </w> ? </w>
Can </w> you </w> ski ? </w>	Savez-vous </w> faire </w> du </w> ski </w> ? </w>
Can </w> you </w> ski ? </w>	Sais-tu </w> faire </w> du </w> ski </w> ? </w>
Can </w> you </w> try? </w>	Pouvez-vous </w> essayer </w> ? </w>
Clean </w> it </w> up. </w>	Net to yez -le. </w>
Clean </w> it </w> up. </w>	Net toie -le. </w>
Come </w> get </w> it. </w>	Viens </w> le </w> chercher. </w>
Come </w> get </w> me. </w>	Venez </w> me </w> chercher. </w>
Come </w> inside. </w>	En tre. </w>
Come </w> off </w> it! </w>	Arrête </w> ça </w> ! </w>
Come </w> off </w> it! </w>	Arrête </w> de </w> te </w> la </w> péter </w> ! </w>
Come </w> off </w> it! </w>	Arrête </w> ton </w> char </w> ! </w>
Come </w> off </w> it! </w>	Dé cro che </w> de </w> ça </w> ! </w>
Come </w> off </w> it! </w>	Change </w> de </w> disque </w> ! </w>
Come </w> off </w> it! </w>	Laisse </w> tomber </w> ! </w>
Come </w> off </w> it. </w>	Laisse </w> tomber. </w>
Come </w> off </w> it. </w>	Arrête </w> ton </w> ch ar. </w>
Cook </w> for </w> me. </w>	C uis ine </w> pour </w> moi. </w>
Cook </w> for </w> me. </w>	C uis ine z </w> pour </w> moi. </w>
Count </w> me </w> in. </w>	Tu </w> peux </w> me </w> compter </w> dans </w> le </w> nom bre. </w>
C over </w> it </w> up. </w>	C ouvre z-le. </w>
C over </w> it </w> up. </w>	Cam ou fle z-le. </w>
De al </w> me </w> out. </w>	Ne </w> compte </w> pas </w> sur </w> moi. </w>
Did </w> Tom </w> eat? </w>	Est-ce </w> que </w> Tom </w> a </w> mangé </w> ? </w>
Did </w> Tom </w> eat? </w>	Tom </w> a-t-il </w> mangé </w> ? </w>
Did </w> it </w> hurt? </w>	Ça </w> vous </w> a </w> fait </w> mal </w> ? </w>
Did </w> you </w> win? </w>	As-tu </w> vain cu </w> ? </w>
Did </w> you </w> win? </w>	L'avez-vous </w> emporté </w> ? </w>
Did </w> you </w> win? </w>	L'as-tu </w> emporté </w> ? </w>
Do </w> it </w> again! </w>	Fais-le </w> encore </w> une </w> fois </w> ! </w>
Do </w> it </w> again! </w>	Re fais -le </w> ! </w>
Do </w> it </w> again! </w>	Fais-le </w> de </w> nouveau </w> ! </w>
Do </w> it </w> again! </w>	Fais-le </w> à </w> nouveau </w> ! </w>
Do </w> it </w> again! </w>	Faites-le </w> de </w> nouveau </w> ! </w>
Do </w> it </w> again! </w>	Faites-le </w> à </w> nouveau </w> ! </w>
Do </w> it </w> again! </w>	Re faites -le </w> ! </w>
Do </w> it </w> right. </w>	Fais-le </w> comme </w> il </w> faut </w> ! </w>
Do </w> it </w> right. </w>	Faites-le </w> comme </w> il </w> faut </w> ! </w>
Do </w> your </w> job. </w>	Fais </w> ton </w> boulot. </w>
Don't </w> cheat. </w>	Ne </w> tr iche </w> pas. </w>
Don't </w> cheat. </w>	Ne </w> trich ez </w> pas. </w>
Don't </w> do </w> it! </w>	Ne </w> le </w> fais </w> pas </w> ! </w>
Don't </w> do </w> it! </w>	Ne </w> le </w> faites </w> pas </w> ! </w>
Don't </w> do </w> it. </w>	Ne </w> le </w> fais </w> pas </w> ! </w>
Don't </w> do </w> it. </w>	Ne </w> le </w> faites </w> pas </w> ! </w>
Don't </w> fight. </w>	Ne </w> vous </w> bat tez </w> pas. </w>
Don't </w> glo at. </w>	Ne </w> ju bi lez </w> pas </w> ! </w>
Don't </w> glo at. </w>	Ne </w> ju bi le </w> pas </w> ! </w>
Don't </w> laugh. </w>	Ne </w> ris </w> pas. </w>
Don't </w> laugh. </w>	Ne </w> riez </w> pas. </w>
Don't </w> leave ! </w>	Ne </w> t'en </w> va </w> pas </w> ! </w>
Don't </w> leave ! </w>	Ne </w> pars </w> pas </w> ! </w>
Don't </w> leave ! </w>	Ne </w> quittez </w> pas </w> ! </w>
Don't </w> leave. </w>	Ne </w> pars </w> pas </w> ! </w>
Don't </w> leave. </w>	Ne </w> par tez </w> pas </w> ! </w>
Don't </w> pan ic ! </w>	Ne </w> pan ique </w> pas </w> ! </w>
Don't </w> pan ic ! </w>	Ne </w> pan ique z </w> pas </w> ! </w>
Don't </w> shoot ! </w>	Ne </w> tire </w> pas </w> ! </w>
Don't </w> shoot ! </w>	Ne </w> tirez </w> pas </w> ! </w>
Don't </w> shoot. </w>	Ne </w> tire </w> pas </w> ! </w>
Don't </w> shoot. </w>	Ne </w> tirez </w> pas </w> ! </w>
Don't </w> sh out. </w>	Ne </w> crie </w> pas. </w>
Don't </w> smile. </w>	Ne </w> souris </w> pas. </w>
Don't </w> smile. </w>	Ne </w> sour iez </w> pas. </w>
Don't </w> smoke. </w>	Ne </w> fume z </w> pas. </w>
Don't </w> worry. </w>	T' inquiète </w> pas. </w>
Don't </w> worry. </w>	T' inquiète. </w>
Don't </w> worry. </w>	Ne </w> t'en </w> fais </w> pas. </w>
Don't </w> worry. </w>	Ne </w> vous </w> en </w> faites </w> pas. </w>
Don't </w> worry. </w>	Ne </w> vous </w> inquiétez </w> pas. </w>
Finish </w> this. </w>	Fin is </w> ça. </w>
Finish </w> this. </w>	Fin issez </w> ceci. </w>
F lip </w> a </w> coin. </w>	L ance </w> une </w> pièce </w> ! </w>
Forgive </w> Tom. </w>	Pardonne </w> Tom. </w>
Get </w> dressed. </w>	Hab ille -toi. </w>
Get </w> dressed. </w>	Hab ille z-vous . </w>
Get </w> serious. </w>	Sois </w> sérieux. </w>
Get </w> the </w> box. </w>	Prends </w> la </w> boîte. </w>
Get </w> the </w> box. </w>	Prenez </w> la </w> boîte. </w>
Go </w> have </w> fun. </w>	Amuse -toi </w> bien. </w>
Go </w> have </w> fun. </w>	Vas - y, </w> amuse -toi. </w>
Go </w> home </w> now. </w>	Va </w> chez </w> toi, </w> maintenant. </w>
Go </w> home </w> now. </w>	Va </w> chez </w> nous, </w> maintenant. </w>
Go </w> home </w> now. </w>	Va </w> à </w> la </w> maison, </w> maintenant. </w>
Go </w> home </w> now. </w>	Allez </w> chez </w> vous, </w> maintenant. </w>
Go </w> home </w> now. </w>	Allez </w> à </w> la </w> maison, </w> maintenant. </w>
Go </w> on </w> ahead. </w>	Continue </w> en </w> avant. </w>
Go </w> to </w> sleep. </w>	Va </w> dormir </w> ! </w>
Go </w> with </w> Tom. </w>	Va </w> avec </w> Tom. </w>
Go </w> with </w> Tom. </w>	Allez </w> avec </w> Tom. </w>
Grab </w> a </w> seat. </w>	Prends -toi </w> un </w> siège </w> ! </w>
Have </w> a </w> beer. </w>	Prends </w> une </w> bière </w> ! </w>
Have </w> a </w> look. </w>	Regarde </w> ! </w>
Have </w> a </w> look. </w>	Regardez </w> ! </w>
Have </w> a </w> look. </w>	Jette </w> un </w> œil </w> ! </w>
Have </w> a </w> look. </w>	Je tez </w> un </w> œil </w> ! </w>
Have </w> a </w> seat. </w>	Prenez </w> place. </w>
Have </w> a </w> seat. </w>	Prends </w> place. </w>
Have </w> we </w> met? </w>	Nous </w> sommes-nous </w> rencontrés </w> ? </w>
He </w> can </w> come. </w>	Il </w> peut </w> venir. </w>
He </w> can </w> read. </w>	Il </w> peut </w> lire. </w>
He </w> can </w> swim. </w>	Il </w> sait </w> nager. </w>
He </w> ch uck led. </w>	Il </w> gl ous sa. </w>
He </w> ch uck led. </w>	Il </w> a </w> gl ous sé. </w>
He </w> found </w> it. </w>	Il </w> le </w> trouv a. </w>
He </w> found </w> it. </w>	Il </w> l'a </w> trouvé. </w>
He </w> got </w> away. </w>	Il </w> s'en </w> est </w> sorti. </w>
He </w> grew </w> old. </w>	Il </w> devint </w> vieux. </w>
He </w> grew </w> old. </w>	Il </w> est </w> devenu </w> vieux. </w>
He </w> has </w> come ! </w>	Il </w> est </w> venu </w> ! </w>
He </w> has </w> guts. </w>	Il </w> a </w> des </w> trip es. </w>
He </w> has </w> wine. </w>	Il </w> a </w> du </w> vin. </w>
He </w> helps </w> us. </w>	Il </w> nous </w> aide. </w>
He </w> is </w> drunk. </w>	Il </w> est </w> ivre. </w>
He </w> is </w> drunk. </w>	Il </w> est </w> soû l. </w>
He </w> is </w> eight. </w>	Il </w> a </w> huit </w> ans. </w>
He </w> is </w> hat ed. </w>	Il </w> est </w> haï . </w>
He </w> is </w> nast y. </w>	Il </w> est </w> méchant. </w>
He </w> is </w> young. </w>	Il </w> est </w> jeune. </w>
He </w> likes </w> me. </w>	Il </w> m'aime </w> bien. </w>
He </w> likes </w> me. </w>	Il </w> m' apprécie. </w>
He </w> loves </w> me. </w>	Il </w> m'aime. </w>
He </w> loves </w> us. </w>	Il </w> nous </w> aime. </w>
He </w> needs </w> it. </w>	Il </w> en </w> a </w> besoin. </w>
He </w> resigned. </w>	Il </w> démission na. </w>
He </w> squ in ted. </w>	Il </w> lou ch a. </w>
He </w> squ in ted. </w>	Il </w> a </w> lou ché. </w>
He </w> stood </w> up. </w>	Il </w> se </w> mit </w> debout. </w>
He </w> stood </w> up. </w>	Il </w> se </w> dres sa. </w>
He </w> stood </w> up. </w>	Il </w> s'est </w> levé. </w>
He </w> was </w> busy. </w>	Il </w> était </w> occupé. </w>
He's </w> a </w> hun k. </w>	C'est </w> un </w> beau </w> mec. </w>
He's </w> a </w> hun k. </w>	C'est </w> un </w> beau </w> gos se. </w>
He's </w> a </w> jerk. </w>	C'est </w> un </w> pauvre </w> type. </w>
He's </w> a </w> liar. </w>	C'est </w> un </w> menteur. </w>
He's </w> a </w> ner d. </w>	C'est </w> un </w> bin o cl ard. </w>
He's </w> a </w> slo b. </w>	C'est </w> un </w> fle m mar d. </w>
He's </w> asleep. </w>	Il </w> est </w> endormi. </w>
He's </w> coming. </w>	Il </w> arrive. </w>
He's </w> coming. </w>	Il </w> est </w> en </w> train </w> d'arriver. </w>
He's </w> crying. </w>	Il </w> est </w> en </w> train </w> de </w> pleurer. </w>
He's </w> f ak ing. </w>	Il </w> sim u le. </w>
He's </w> loaded. </w>	Il </w> est </w> blind é. </w>
He's </w> loaded. </w>	Il </w> est </w> p été </w> de </w> th une. </w>
He's </w> loaded. </w>	Il </w> est </w> plein </w> aux </w> as. </w>
He's </w> my </w> age. </w>	Il </w> a </w> mon </w> âge. </w>
He's </w> not </w> in. </w>	Il </w> n'est </w> pas </w> chez </w> lui. </w>
He's </w> not </w> in. </w>	Il </w> n'est </w> pas </w> à </w> l'intérieur. </w>
He's </w> not </w> in. </w>	Il </w> n'est </w> pas </w> là. </w>
Help </w> me </w> out. </w>	Aide-moi </w> à </w> sortir. </w>
Help </w> me </w> out. </w>	Aidez-moi </w> à </w> sortir. </w>
Here </w> I </w> come. </w>	J' arrive. </w>
Here </w> I </w> come. </w>	Me </w> voici. </w>
Here </w> she </w> is! </w>	La </w> voilà </w> ! </w>
Here </w> we </w> are! </w>	Nous </w> voilà </w> ! </w>
Here </w> we </w> are! </w>	Nous </w> vo ici </w> ! </w>
Here </w> we </w> are! </w>	Nous </w> y </w> voilà </w> ! </w>
Here </w> we </w> are. </w>	On </w> y </w> est. </w>
Here </w> we </w> are. </w>	Nous </w> y </w> voici. </w>
Here </w> we </w> are. </w>	Nous </w> y </w> voilà </w> ! </w>
How </w> are </w> you? </w>	Comment </w> vas-tu </w> ? </w>
How </w> are </w> you? </w>	Comment </w> allez-vous </w> ? </w>
How </w> are </w> you? </w>	Ça </w> va </w> ? </w>
How </w> are </w> you? </w>	Comment </w> il </w> va </w> ? </w>
How </w> are </w> you? </w>	Comment </w> allons-nous </w> ? </w>
How </w> are </w> you? </w>	Comment </w> ça </w> va </w> ? </w>
How </w> curious ! </w>	Comme </w> c'est </w> curieux </w> ! </w>
How </w> is </w> life? </w>	Comment </w> est </w> la </w> vie </w> ? </w>
I </w> also </w> went. </w>	J'y </w> suis </w> également </w> allé. </w>
I </w> am </w> a </w> cook. </w>	Je </w> suis </w> cuisinier. </w>
I </w> am </w> a </w> mon k. </w>	Je </w> suis </w> un </w> mo ine. </w>
I </w> am </w> better. </w>	Je </w> vais </w> mieux. </w>
I </w> am </w> better. </w>	Je </w> suis </w> mieux. </w>
I </w> am </w> coming. </w>	J' arrive. </w>
I </w> am </w> hungry. </w>	J'ai </w> faim </w> ! </w>
I </w> am </w> joking. </w>	Je </w> plais ante. </w>
I </w> am </w> single. </w>	Je </w> suis </w> célibataire. </w>
I </w> am </w> taller. </w>	Je </w> suis </w> plus </w> grand. </w>
I </w> apologize. </w>	Je </w> vous </w> prie </w> de </w> m'excus er. </w>
I </w> asked </w> Tom. </w>	J'ai </w> demandé </w> à </w> Tom. </w>
I </w> assume </w> so. </w>	Je </w> le </w> suppo se. </w>
I </w> bought </w> it. </w>	Je </w> l'ai </w> achet é. </w>
I </w> buried </w> it. </w>	Je </w> l'ai </w> enter ré. </w>
I </w> buried </w> it. </w>	Je </w> l'ai </w> enter rée. </w>
I </w> burned </w> it. </w>	Je </w> l'ai </w> brû lé. </w>
I </w> burned </w> it. </w>	Je </w> l'ai </w> brûlé e. </w>
I </w> came </w> back. </w>	Je </w> suis </w> revenu. </w>
I </w> can </w> dance. </w>	Je </w> sais </w> danser. </w>
I </w> can </w> do </w> it. </w>	Je </w> peux </w> le </w> faire. </w>
I </w> can </w> do </w> it. </w>	Je </w> peux </w> y </w> arriver. </w>
I </w> can </w> do </w> it. </w>	Je </w> peux </w> y </w> parvenir. </w>
I </w> can </w> do </w> it. </w>	J'arrive </w> à </w> le </w> faire. </w>
I </w> can't </w> eat. </w>	Je </w> ne </w> peux </w> pas </w> manger. </w>
I </w> can't </w> say. </w>	Je </w> ne </w> puis </w> le </w> dire. </w>
I </w> can't </w> say. </w>	Je </w> ne </w> peux </w> le </w> dire. </w>
I </w> can't </w> see. </w>	Je </w> n'arrive </w> pas </w> à </w> voir. </w>
I </w> can't </w> see. </w>	Je </w> ne </w> parviens </w> pas </w> à </w> voir. </w>
I </w> can't </w> see. </w>	Je </w> suis </w> aveugle. </w>
I </w> can't </w> win. </w>	Je </w> ne </w> peux </w> gagner. </w>
I </w> can't </w> win. </w>	Je </w> ne </w> peux </w> pas </w> gagner. </w>
I </w> can't </w> win. </w>	Je </w> ne </w> puis </w> gagner. </w>
I </w> caught </w> it. </w>	Je </w> l'ai </w> attrap é. </w>
I </w> caught </w> it. </w>	Je </w> l'ai </w> attrap ée. </w>
I </w> confessed. </w>	J'ai </w> confess é. </w>
I </w> confessed. </w>	Je </w> l'ai </w> confess é. </w>
I </w> could </w> try. </w>	Je </w> pourrais </w> essayer. </w>
I </w> cut </w> class. </w>	J'ai </w> sé ché. </w>
I </w> didn't </w> go. </w>	Je </w> n'y </w> suis </w> pas </w> allé. </w>
I </w> didn't </w> go. </w>	Je </w> n'y </w> suis </w> pas </w> allée. </w>
I </w> didn't </w> go. </w>	Je </w> ne </w> m'y </w> suis </w> pas </w> ren du. </w>
I </w> didn't </w> go. </w>	Je </w> ne </w> m'y </w> suis </w> pas </w> rendu e. </w>
I </w> do zed </w> off. </w>	J'ai </w> piqué </w> du </w> nez. </w>
I </w> eat </w> a </w> lot. </w>	Je </w> mange </w> beaucoup. </w>
I </w> eat </w> alone. </w>	Je </w> mange </w> seul. </w>
I </w> eat </w> alone. </w>	Je </w> mange </w> seule. </w>
I </w> eat </w> bread. </w>	Je </w> mange </w> du </w> pain. </w>
I </w> eat </w> fruit. </w>	Je </w> mange </w> des </w> fruits. </w>
I </w> exercise d. </w>	Je </w> me </w> suis </w> entraî né. </w>
I </w> exercise d. </w>	Je </w> me </w> suis </w> entraî née. </w>
I </w> feel </w> blue. </w>	Je </w> me </w> sens </w> déprimé. </w>
I </w> feel </w> blue. </w>	Je </w> me </w> sens </w> déprimée. </w>
I </w> feel </w> cold. </w>	J'ai </w> froid. </w>
I </w> feel </w> fine. </w>	Je </w> me </w> sens </w> bien. </w>
I </w> feel </w> good. </w>	Je </w> me </w> sens </w> bien. </w>
I </w> feel </w> lost. </w>	Je </w> me </w> sens </w> perdu. </w>
I </w> feel </w> lost. </w>	Je </w> me </w> sens </w> perdue. </w>
I </w> feel </w> safe. </w>	Je </w> me </w> sens </w> en </w> sécurité. </w>
I </w> feel </w> sick. </w>	Je </w> me </w> sens </w> mal. </w>
I </w> feel </w> weak. </w>	Je </w> me </w> sens </w> faible. </w>
I </w> feel </w> well. </w>	Je </w> me </w> sens </w> bien. </w>
I </w> felt </w> dumb. </w>	Je </w> me </w> suis </w> senti </w> idiot. </w>
I </w> felt </w> dumb. </w>	Je </w> me </w> suis </w> sentie </w> idiote. </w>
I </w> felt </w> fear. </w>	J'ai </w> ressenti </w> de </w> la </w> peur. </w>
I </w> felt </w> good. </w>	Je </w> me </w> sentais </w> bien. </w>
I </w> felt </w> safe. </w>	Je </w> me </w> suis </w> senti </w> en </w> sécurité. </w>
I </w> felt </w> safe. </w>	Je </w> me </w> suis </w> sentie </w> en </w> sécurité. </w>
I </w> got </w> bored. </w>	J'ai </w> commencé </w> à </w> m'ennuy er. </w>
I </w> got </w> dizzy. </w>	J'ai </w> été </w> pris </w> de </w> vertiges. </w>
I </w> got </w> dizzy. </w>	J'ai </w> été </w> prise </w> de </w> vertiges. </w>
I </w> got </w> fined. </w>	On </w> m'a </w> mis </w> une </w> amen de. </w>
I </w> got </w> fined. </w>	On </w> m'a </w> coll é </w> une </w> amen de. </w>
I </w> got </w> fined. </w>	J'ai </w> pris </w> une </w> pr une. </w>
I </w> got </w> fined. </w>	J'ai </w> été </w> ver bal isé. </w>
I </w> got </w> fined. </w>	J'ai </w> été </w> ver bal isée. </w>
I </w> got </w> fined. </w>	On </w> m'a </w> mis </w> une </w> pr une. </w>
I </w> got </w> fined. </w>	Je </w> me </w> suis </w> fait </w> ver bal iser. </w>
I </w> got </w> fined. </w>	J'ai </w> pris </w> une </w> contr avent ion. </w>
I </w> got </w> fined. </w>	On </w> m'a </w> mis </w> une </w> contr avent ion. </w>
I </w> got </w> fined. </w>	J'ai </w> pris </w> une </w> contre danse. </w>
I </w> got </w> fined. </w>	On </w> m'a </w> mis </w> une </w> contre danse. </w>
I </w> got </w> lucky. </w>	J'ai </w> eu </w> de </w> la </w> chance. </w>
I </w> got </w> lucky. </w>	J'ai </w> eu </w> du </w> bo l. </w>
I </w> got </w> upset. </w>	J'ai </w> été </w> contrariée. </w>
I </w> got </w> upset. </w>	Je </w> me </w> suis </w> fâch ée. </w>
I </w> got </w> upset. </w>	Je </w> me </w> suis </w> fâché. </w>
I </w> got </w> upset. </w>	J'ai </w> été </w> contrarié. </w>
I </w> guess </w> not. </w>	J'imagine </w> que </w> non. </w>
I </w> guess </w> not. </w>	Je </w> suppose </w> que </w> non. </w>
I </w> had </w> to </w> go. </w>	Je </w> devais </w> y </w> aller. </w>
I </w> hate </w> dogs. </w>	Je </w> déteste </w> les </w> chiens. </w>
I </w> hate </w> dogs. </w>	Je </w> hais </w> les </w> chiens. </w>
I </w> hate </w> fish. </w>	Je </w> déteste </w> le </w> poisson. </w>
I </w> hate </w> golf. </w>	Je </w> déteste </w> le </w> golf. </w>
I </w> hate </w> milk. </w>	Je </w> déteste </w> le </w> lait. </w>
I </w> hate </w> sand. </w>	Je </w> déteste </w> le </w> sable. </w>
I </w> hate </w> sand. </w>	Je </w> hais </w> le </w> sable. </w>
I </w> hate </w> that. </w>	Je </w> déteste </w> ça. </w>
I </w> hate </w> them. </w>	Je </w> les </w> déteste. </w>
I </w> hate </w> this. </w>	Je </w> déteste </w> ça. </w>
I </w> hate </w> work. </w>	Je </w> déteste </w> le </w> travail. </w>
I </w> have </w> cash. </w>	J'ai </w> du </w> liquide. </w>
I </w> have </w> cash. </w>	Je </w> dispose </w> de </w> liquide. </w>
I </w> have </w> eyes. </w>	J'ai </w> des </w> yeux. </w>
I </w> have </w> food. </w>	J'ai </w> de </w> la </w> nourriture. </w>
I </w> have </w> food. </w>	Je </w> dispose </w> de </w> nourriture. </w>
I </w> have </w> news. </w>	J'ai </w> des </w> nouvelles. </w>
I </w> have </w> time. </w>	J'ai </w> du </w> temps. </w>
I </w> have </w> time. </w>	Je </w> dispose </w> de </w> temps. </w>
I </w> have </w> wine. </w>	J'ai </w> du </w> vin. </w>
I </w> know </w> that. </w>	Je </w> le </w> sais. </w>
I </w> know </w> them. </w>	Je </w> les </w> connais. </w>
I </w> know </w> this. </w>	Je </w> sais </w> ça. </w>
I </w> know </w> this. </w>	Je </w> le </w> sais. </w>
I </w> like </w> beer. </w>	J'aime </w> la </w> bière. </w>
